ETossed,Wins,Losses
mint,"fuzzyness, ice, jah ridin', king(x2), levingy, mahie(x2), max(x2), mayhem092, nicki, niklas2912(x2), parsec, pipsqueak(x3), prins esse, raoul, savestate, solobattle, ","big irf, frenzy(x3), Gabe, jah ridin', kins0, leffen, levingy, mahie, makenshi, nicki, professor pro, solobattle, timi, trif(x2), ",
mahie,"abbearv(x2), humpe(x2), jeapie, max, mayhem092, meady, mint, nicki, niklas2912, noxxa, paju, parsec(x2), pipsqueak, r23(x2), rikzz(x2), senx, sharp, skullbro(x2), trif, ","frenzy(x3), fuzzyness, ice, jah ridin', kins0, leffen, levingy(x2), makenshi, meady(x2), mint(x2), Moe, nicki(x3), noxxa, pipsqueak, professor pro, raiden, raoul, rikzz, schima, sharp, skullbro, Smarted, solobattle, Sverre, trif, ",
makenshi,"big irf, kingu, levingy, mahie, mint, niklas2912, rikzz, schima, ","frenzy, jah ridin', leffen, nicki, ",
malmortis,"","humpe, trif, velani, Weston, ",
marah,"","bose, daydee, Meruem, Pi, ",
max,"abbearv, abbson, fat tino(x2), fuzzyness(x2), gg, humpe, jeapie, laurster, liax, meady, ninjagofan72, prins esse, savestate, senx(x2), setchi, steff$, trif, ","23, 3rd, Calle W, Cillit(x2), Duman, fat tino, Floursnail, fout nl, frenzy(x2), humpe, jah ridin'(x2), kins0(x3), Kweet, leffen, Link69, mahie, meady, mint(x2), nicki, noxxa, pipsqueak, poilon, Psylo, Raisem, rikzz(x2), savestate, schima, skullbro, yung Ullrich, ",
mayhem092,"charlon, jeapie, niklas2912, parsec, r23, raoul, shiftingshadows, ","bose, fat tino, jah ridin', jamie, Lavos, levingy, liax, mahie, mint, poilon(x2), professor pro, ",
meady,"abbearv, frenzy(x3), gg, laurster, liax, mahie(x2), max, parsec, raiden, raoul, renzo, rikzz(x2), senx(x2), shiftingshadows(x2), skullbro, steff$, timi(x2), velani, yogurt, ","abbearv, Aiika, fat tino, frenzy(x4), Gabe, ice(x2), jah ridin', jamie, jeapie, kingu, kins0(x3), leffen, levingy(x2), mahie, max, nicki, niklas2912, professor pro(x2), sharp, skullbro, solobattle(x2), timi, trif(x3), ",
modestmajor,"","fat tino, laurster, ",
nicki,"charon(x2), fat tino, fout nl(x2), frenzy, fuzzyness, jah ridin', jim morrison, kins0(x3), levingy(x2), mahie(x3), makenshi, max, meady, mint, ninjagofan72, noxxa, parsec, pipsqueak, raoul, renzo, skullbro(x3), solobattle(x2), yogurt, ","ice(x2), kins0, leffen(x3), mahie, mint, pipsqueak(x3), professor pro(x2), solobattle, trif(x3), ",
niklas2912,"bose, dronin, laurster(x2), liax, meady, r23, renzo, rikzz, ","abbearv, jeapie, mahie, makenshi, mayhem092, mint(x2), r23, rikzz, shiftingshadows(x3), ",
ninjagofan72,"bose, paju, savestate, ","fuzzyness, ice, Jormis, leffen, levingy, max, nicki, Psylo, ",
prins esse,"blackh4ze, humpe, kingu, levingy, liax(x2), paju, rikzz, shiftingshadows, ","abbearv, Aiken, big irf, frenzy(x2), Gr4pe, humpe(x2), ice, max, mint, mordo, parsec, Rabbitalex, solobattle, ",
noxxa,"abbearv, bose, liax, mahie, max, savestate, sharp, velani, ","Aiken, Alain, Apollo Bon, Calle W, Eekim, gg, humpe, jah ridin', jeapie, king, kins0, laurster, levingy(x2), Little Bear, mahie, Muren, professor pro, Risc, Ryzon, senx, shiftingshadows, skullbro, steff$, timi, trif, Vivi, ",
paju,"humpe, laurster, ","Gr4pe, Kaese, king, levingy, mahie, nebbii, ninjagofan72, parsec, prins esse, professor pro, senx, shiftingshadows, steff$, velani, yogurt, ",
parsec,"big irf, charlon, fout nl, king, liax, paju, prins esse, schima, sharp, steff$(x2), yogurt, ","Anna(x2), astar, big irf, Gr4pe, kingu(x2), kins0, lasse, levingy, mahie(x2), Manio, mayhem092, meady, mint, nicki, r23, raoul, rikzz, schima, velani, ",
