ETossed,Wins,Losses
Gahtzu,"Aklo(x2), Albert, Aura, Axe, Azel, Ben(x10), Blues Clues, bobby big ballz(x12), Bones, Chem(x3), Colbol(x5), Dacky, Dawson(x6), DontTestMe, Drephen(x4), Eddy Mexico, Faceroll, Fank, Far!, Freezus(x2), Ginger(x4), Grab(x3), Hax$, htwa(x2), Hungrybox, Jflex(x5), Juicebox(x3), Just Jason, Kalamazhu, Kata(x4), KoDoRiN(x2), Komodo(x5), Koobie(x3), Krudo, Kuyashi, lloD, Logan(x2), Lotfy(x3), Lucky(x2), Medz, Mekk(x2), Mot$, n0ne/ Bond / wizzyfan109(x3), NoFluxes(x4), nut, Panda(x2), Pappi(x5), Polish, Quaff, Ryobeat, S2J, SDJ, SFAT, SluG(x2), Soonsay(x2), The Leaf(x2), TheSWOOPER, Trail, Typhoon, Westballz, Zamu, Zealot(x4), Zeeker(x2), Zuppy(x3), ","2saint, Aklo(x3), aMSa, Azel, Ben(x2), bobby big ballz(x4), CocoBunniez, Colbol(x14), CPU0, Drephen, Dusk, Eggy, Ginger(x3), Grab, Hax$(x2), Hungrybox, iBDW, Jank, Jflex(x2), Jmook, Joyboy, Kalamazhu(x2), Kata, KoDoRiN(x5), lloD, Logan, Lucky, Magi(x2), Michael, moky, mvlvchi, Nanami (aka PurpleZ), Panda, Plup, Polish, Rocky, S2J, SDJ, SFAT(x2), Slowking(x3), SluG, Soonsay, Unsure, Wicked_, Zain, Zamu, ",
Albert,"2saint, Android 0, Aura, Axe, Bbatts, Ben, bobby big ballz(x2), Casper, Colbol, Dacky, DontTestMe, Drephen, Eddy Mexico(x2), FatGoku, Fiction, Frenzy, Hungrybox, Juicebox, Justus, Komodo, Pappi, S2J, Salt, Secrets, SFOP, Typhoon, ","2saint(x2), Aklo, Aura, Ben(x2), Chem, Faceroll(x2), Gahtzu, Hungrybox, iBDW(x2), Logan, Lucky, n0ne/ Bond / wizzyfan109, Palpa, S2J, SDJ, SFAT(x3), ",
FatGoku,"2saint, Aura(x15), Dacky(x5), Dawson(x2), Drephen, Eddy Mexico, Fiction(x2), Hax$, JSalt, K8A, KJH, Logan, Luigi Ka-Master, Medz, nut, Palpa(x2), Pappi(x6), Polish, Rei(x4), S2J(x2), SDJ(x2), SFOP, Soonsay, Umarth, ","2saint, Albert, Aura(x2), Ben, Blea Gelo, Casper, Dacky, Eddy Mexico(x4), Ginger, Hax$, Kalamazhu, KoDoRiN, KoopaTroopa895, Logan(x2), Lucky, n0ne/ Bond / wizzyfan109, Pappi, S2J(x3), SDJ, Snap, TheRealThing, YeehawDaniels, Zamu, Zealot, ",
Rishi,"Bbatts, Bones(x2), Fank, Jflex, Jojo, Khryke, Lucky, Panda, Polish, Tai, TheSWOOPER, Warmmer, ","Aklo(x3), Axe, Hax$, Hungrybox, lloD, Polish, TPN, WillieSchmillieBoyMan, Younger, ",
Magi,"Aklo, Aura, Bbatts(x3), Ben(x2), bobby big ballz, Chem, Dawson(x2), Gahtzu(x2), Ginger, JSalt(x4), Khryke, Krudo, Lucky, Mot$, Neologism, null(x2), Pappi(x2), Pipsqueak, Professor Pro, Rocky, SFAT(x3), SFOP, Skerzo, Slowking, TheRealThing, Wizzrobe, Zamu, ","Ben, Faceroll, Faust, Ginger(x3), Hungrybox(x3), Jmook, Kalamazhu, KoDoRiN(x3), Kuyashi, Leffen, Logan, Medz, n0ne/ Bond / wizzyfan109(x3), null, Polish(x3), S2J(x2), TheSWOOPER, Wizzrobe, Zamu(x2), Zealot, ",
Morsecode762,"Akir, Bbatts, Blues Clues, Dawson, Eggy, Freezus, Jflex(x2), Kata(x2), Koobie, Kuyashi(x2), Lotfy, Mot$, Ober, orly, Skerzo, Slowking, Suezo(x3), TheRealThing, Travioli, Wally, Zamu, ","Bbatts, Drephen, Excel Zero, Ginger(x3), Jflex, Kuyashi(x2), NoFluxes, Polish, Suezo, Travioli, Wally, Zion(x2), ",
Zamu,"Aklo, Aura, Azel, Bbatts(x2), Ben(x2), bobby big ballz, Casper, Chem, Colbol, Dacky, Dawson(x2), Drephen, Eddy Mexico(x2), Eggy, Fank, FatGoku, Forrest, Gahtzu, Grab, htwa(x2), Jflex(x4), Justus, K8A, Koobie(x2), Krudo, Logan, Magi(x2), Mekk(x2), Michael(x3), Mot$(x3), Neologism(x3), NoFluxes, Ober, Panda(x2), Polish(x3), Rocky, Ryobeat(x3), SFAT, Skerzo(x4), Slowking, Smashdaddy, Suezo, Swift, TheRealThing, TheSWOOPER, Travioli(x4), Unsure(x3), Wally, Warmmer, Zealot(x2), Zeeker(x2), Zuppy(x2), ","Aklo(x4), ARMY, Axe, Bbatts, Ben(x4), bobby big ballz(x4), Chem, DarkHero, Eddy Mexico(x2), Free Palestine(x2), Gahtzu, Ginger(x2), Goosekhan, Hungrybox(x2), Jamrun, Joey Donuts, Kalamazhu, KoDoRiN, lloD, Logan(x2), Lucky, Magi, Mekk, Morsecode762, MT, n0ne/ Bond / wizzyfan109(x2), OG Swaglord, Pappi, Polish(x2), Professor Pro, Reeve(x2), Ringler, S2J, Salt, SFAT(x2), SFOP, Shmeeli, Smashdaddy, SnooSnoo, TheSWOOPER(x2), Travioli, Wally, Zain, Zealot(x2), Zeeker, Zuppy, ",
Drephen,"Akir(x5), Aura, Bbatts(x2), Ben(x5), bobby big ballz(x8), Bones, Chem, Dawson(x2), Eddy Mexico, Forrest, Freezus(x4), Gahtzu, Ginger(x3), Grab, htwa, iBDW, Jflex(x6), Jojo, JSalt, Juicebox(x3), K8A(x2), Koobie, Kuyashi, lloD, Lotfy(x2), Morsecode762, NoFluxes(x2), Ober, OkayP., Pappi(x4), Ringler, SDJ, Skerzo(x4), Slowking(x2), SluG(x3), Suezo(x3), Swift, TheSWOOPER(x3), Trail(x2), Unsure(x2), Warmmer, Wevans, Zeeker(x2), Zuppy, ","Aklo(x2), Albert, Balloon Day(x5), Ben(x2), bobby big ballz(x6), Colbol(x2), Dawson, Elliot, essy(x2), FatGoku, Gahtzu(x4), Gainz, Ginger(x14), Hax$, HELLA, htwa(x2), Jmook, Joyboy, JSalt, Juicebox(x3), KJH(x2), KoDoRiN, Komodo(x2), lloD, Logan, Lucky, LuigigoShard, moky, Neologism, Polish, rabit!, Ryobeat, SDJ(x2), SFOP, Skerzo, SluG, Warmmer, Zamu, Zealot(x4), Zuppy, ",
Michael,"Bbatts, Bones, Dawson(x2), Eddy Mexico, Eggy, Fizz(x11), Freezus, Gahtzu, Grab(x3), htwa, Just Jason, Koobie, Krudo, Mekk(x5), Mot$, NoFluxes(x8), Ober(x14), orly(x20), Skerzo(x18), Slowking(x3), Smashdaddy, TheRealThing, Travioli, Unsure(x10), ","2saint, Aklo(x2), bambi, Ben(x3), Blue, bobby big ballz(x2), Colbol, essy, FMB5k, Jflex, Lucky, Ober(x5), orly(x2), Polish(x2), Skerzo(x27), Slowking, Smashdaddy(x2), The Leaf, TheSWOOPER, Unsure(x3), Voo, Warmmer, Zamu(x3), ",
Ice,"Aklo, Frenzy, Jah Ridin'(x2), Kins0(x2), MINT, Nicki(x2), Pipsqueak(x2), Professor Pro(x3), Solobattle, ","Frenzy(x6), Ginger, Leffen, MINT, Pipsqueak(x6), Plup, Polish, Professor Pro(x3), Solobattle, Trif(x3), ",
billybopeep,"Axe, SDJ, Shroomed, ","2saint(x2), Faceroll, Medz, mvlvchi, Plup, SDJ, Tai, ",
Colbol,"2saint, Ben(x6), bobby big ballz(x2), Bones(x2), Chape, Dawson(x3), DontTestMe, Drephen(x2), Eddy Mexico, Fank, Fiction, Forrest(x3), Gahtzu(x14), htwa(x4), Jflex(x2), Kalvar, Kata(x4), Komodo(x2), Logan, Michael, n0ne/ Bond / wizzyfan109, Neologism, Panda(x2), Pappi, SFOP, SluG, Spark, TheRealThing, TheSWOOPER, Trail, Warmmer, ","2saint, Aklo(x3), Albert, Ben, bobby big ballz, Dacky, DontTestMe(x3), Fank, Forrest, Gahtzu(x5), Ginger, htwa, Hungrybox(x2), iBDW, Komodo, Logan(x3), MT, Panda, Pipsqueak, Polish, SDeems, SFOP(x3), Wizzrobe, Zain, Zamu, Zuppy(x3), ",
Kalamazhu,"Akir, Aklo, Aura, Ben(x2), DontTestMe, Far!, FatGoku, Gahtzu(x2), Magi, Mang0, moky, OkayP., Rocky, Squid, Suezo, Tai, Zamu, ","2saint, aMSa, Dacky, Eddy Mexico, Faceroll(x2), Gahtzu, Hax$, Hungrybox, Jflex, Jmook, KoDoRiN, Lucky, S2J(x2), Whiskers, Zain, ",
Aura,"Albert, Android 0, Axe, Azel, Blues Clues, bobby big ballz, Bones, FatGoku(x2), KoDoRiN(x3), Logan, Luigi Ka-Master, NOOT, Quaff(x2), Rei(x2), Ringler, Salt, SDJ(x2), Slowking(x2), Soonsay, Typhoon(x2), Warmmer, Zeeker, ","2saint, Aklo, Albert, Amrak, Blea Gelo, bobby big ballz(x2), Dacky(x2), Drephen, Eddy Mexico, Elysian, Fank, FatGoku(x15), Frenzy, Gahtzu, Jflex, Kalamazhu, KoDoRiN(x5), Kuyashi, Kürv, Logan(x3), Luigi Ka-Master, Magi, Medz, Mew2King, Nickemwit, NoFuxGiven, Panos, Quaff, Rocky(x2), S2J(x2), Salt, SFAT, Slowking, Snap, Stiv(x3), Tarchwood, The Leaf, TreyTheTrashman, Vish, Wizzrobe, YeehawDaniels, ",
nut,"Android 0(x2), Casper(x5), Fiction, Komodo, null(x2), Ringler, ","Android 0(x4), Anjo, Asashi, Bab Activated, Casper(x3), cliché, Eddy Mexico, Elder, FatGoku, Fiction(x5), Franz, Gahtzu, Gooms, Kürv(x2), lucky_dude_1, MegaXmas(x4), n0ne/ Bond / wizzyfan109, null(x3), Raikin, Ranchero, Rat, rom(x2), S2J, SDJ, Secrets, Sora/Joshman, Westballz, Wevans, ",
