ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Hax$,Swedish Delight,Lucky,Ginger,Spark,Chudat,lloD,ARMY,KJH,Shroomed,Westballz,Medz,Professor Pro,2saint,Gahtzu,Albert,FatGoku,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,Squid,Forrest,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,KÃƒÂ¼rv,Frenzy,bobby big ballz,Franz,Nicki,TheRealThing,Umarth,Rocky,htwa,Panda,TheSWOOPER,Azel,Fizzwiggle,Krudo,Kuyashi,Leighton,null,Smashdaddy,Sora/Joshman,Wevans,Akir,Aklo,Android 0,Bbatts,Ben,Blues Clues,Bones,Captain Smuckers,Casper,Chape,Chem,Dacky,Dawson,DontTestMe,Eddy Mexico,Eggy,Fank,Far!,Fizz,Flash,Freezus,Grab,Jah Ridin',Jflex,Jmook,Jojo,JSalt,Juicebox,Just Jason,Justus,K8A,Kata,Komodo,Koobie,Khryke,Kins0,Logan,Lotfy,Mekk,MINT,Mot$,Neologism,NoFluxes,NOOT,Ober,OkayP.,orly,Palpa,Pappi,Pipsqueak,Quaff,Rei,Ringler,Salt,Secrets,SDJ,SFOP,Skerzo,Slowking,SluG,Sock,Solobattle,Soonsay,Suezo,Swift,The Leaf,Trail,Travioli,Typhoon,Unsure,Wally,Warmmer,Whiskers,Zealot,Zeeker,Zuppy,Other losses
S2J,4-2,0-0,0-0,2-0,0-0,1-2,0-0,0-0,3-2,0-0,N/A,2-4,5-5,1-0,1-1,0-0,0-0,0-0,0-0,4-4,2-0,0-0,0-0,0-0,0-0,0-0,2-0,1-0,4-0,0-0,0-4,1-1,1-1,3-2,0-0,2-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,2-0,2-0,1-0,0-0,0-0,0-0,0-0,0-0,7-4,0-0,1-0,0-0,0-0,0-0,18-2,1-0,0-0,0-0,1-0,5-3,1-0,1-0,1-0,1-0,1-0,0-0,0-0,0-0,3-0,2-0,0-0,0-0,1-0,0-0,3-0,0-0,3-0,2-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,0-0,2-1,0-0,2-0,4-1,0-0,4-0,1-0,1-0,0-0,0-0,6-0,0-1,0-0,0-0,1-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Fiction,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,4-2,N/A,0-1,0-0,1-0,0-0,0-1,0-0,0-0,4-1,0-2,1-2,0-0,0-0,1-1,0-0,0-0,8-3,1-0,0-0,0-0,0-0,0-1,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,5-1,0-0,0-0,1-0,0-0,0-0,2-5,0-0,0-0,1-0,0-0,0-0,1-0,1-2,0-1,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,12-2,3-0,2-0,0-0,0-0,0-0,6-2,0-0,0-0,0-0,0-0,0-0,12-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"ManRay, Asashi",
SFAT,0-3,0-0,1-0,3-0,2-2,0-1,0-1,1-3,0-3,0-0,5-5,1-0,N/A,0-0,2-0,0-0,1-0,3-0,0-0,2-0,1-2,0-0,0-0,1-0,1-0,0-0,0-0,0-0,3-0,1-0,2-0,2-1,3-0,0-0,0-0,0-3,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,1-0,0-0,1-0,6-6,3-0,0-0,0-0,0-0,0-0,9-5,0-0,0-0,0-0,0-0,5-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,1-0,0-0,0-0,4-1,0-0,0-0,1-0,4-0,1-0,0-0,0-0,0-0,1-0,0-0,2-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-0,0-0,2-0,0-0,0-0,1-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,1-0,0-1,1-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,Epic Murloc,
moky,0-2,0-0,0-2,1-0,1-0,0-1,0-0,0-0,0-1,0-0,0-1,0-0,0-0,N/A,2-2,0-0,0-0,1-0,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,"totally butts, Syrox, Syrox, JHTL, Siddward, Aero, Joey Donuts, Swami",
n0ne/ Bond / wizzyfan109,2-5,0-0,0-1,0-0,1-0,0-1,0-1,0-2,0-0,0-0,1-1,0-1,0-2,2-2,N/A,0-0,0-0,0-0,0-0,3-3,8-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-3,1-0,1-0,0-0,3-0,0-0,2-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,1-1,0-0,0-0,1-0,4-3,0-0,0-0,0-0,0-0,0-0,6-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-2,0-0,1-0,7-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,3-0,0-0,2-0,1-0,1-0,0-0,0-0,1-0,0-0,3-0,0-1,0-0,4-0,1-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-1,0-0,1-0,0-0,0-0,2-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,1-0,0-1,0-0,0-0,2-0,0-0,1-0,0-0,1-0,2-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,3-0,,
Trif,0-0,0-5,0-0,1-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,8-2,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"max, skullbro, Levingy, Mahie",
Faceroll,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-2,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-2,N/A,0-0,0-0,0-3,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-1,2-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-1,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Hax$,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-1,0-0,0-0,0-0,N/A,0-0,0-0,0-2,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-1,0-0,1-1,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,1-0,3-0,1-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-1,0-0,1-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,0-0,0-0,2-0,0-0,0-0,1-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,,
Swedish Delight,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,2-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,"Kage, Prometheus",
Lucky,1-0,0-0,0-1,0-0,0-1,0-0,0-0,0-1,0-0,0-0,4-4,1-3,0-2,0-0,3-3,0-0,3-0,0-0,0-0,N/A,0-2,1-2,1-0,0-0,1-0,0-0,1-0,1-3,3-1,0-0,0-0,1-2,1-0,1-0,0-1,0-1,0-0,1-0,1-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-1,0-0,1-0,0-0,5-10,0-0,0-0,0-0,0-0,0-0,10-8,0-0,0-0,1-1,1-0,2-2,0-0,0-0,1-0,2-1,0-0,0-0,0-0,0-0,5-1,3-1,0-0,0-0,0-0,0-1,3-1,2-0,2-1,4-1,0-0,0-0,0-1,0-0,0-0,2-1,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,4-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,1-0,2-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"mvlvchi, Asashi, Logos, RedX, yingling, Kürv, aCID, Wassabi, Steech, MrG, Goosekhan",
Ginger,6-10,0-0,0-0,4-1,0-3,0-1,0-0,0-1,1-1,0-0,0-2,2-0,2-1,1-3,1-8,0-0,0-0,2-0,0-0,2-0,N/A,0-0,0-0,0-1,0-1,1-6,0-0,1-0,1-0,0-0,2-0,3-4,0-0,1-0,0-0,3-1,3-0,2-0,14-3,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,3-1,0-0,0-0,0-0,3-7,0-0,3-0,0-0,0-0,0-0,14-5,0-0,0-0,0-0,0-0,1-0,0-0,2-0,2-0,0-0,0-0,2-0,2-2,0-0,1-0,0-0,0-1,0-0,2-0,5-3,0-0,2-1,8-3,2-0,2-0,0-0,0-0,0-0,2-0,1-0,5-0,0-0,1-0,0-0,2-0,0-0,0-0,0-1,0-0,1-0,0-0,7-0,1-2,0-0,0-0,1-0,0-0,0-0,0-0,1-0,1-0,2-0,2-0,0-0,2-2,4-0,0-0,0-0,3-0,3-0,2-1,1-0,0-0,0-0,0-0,0-0,3-1,0-0,0-0,0-0,0-0,1-0,0-0,1-0,1-2,4-1,1-0,2-1,0-0,0-0,1-0,2-0,1-1,0-0,1-0,3-0,0-0,0-0,2-0,2-0,1-0,1-0,1-0,3-0,"MOF, C-bass, Den, DontRestMe",
Spark,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,2-1,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Chudat,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,Junebug,
lloD,0-1,0-0,0-0,0-0,0-2,1-1,0-1,0-0,0-1,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-1,0-0,0-0,1-0,0-0,0-0,1-0,1-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-7,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,1-1,0-0,1-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,0-0,1-0,1-0,0-1,0-0,1-0,2-1,1-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"DrLobster, Balloon Day",
ARMY,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,N/A,0-0,0-0,1-5,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Kürv, ycz6",
KJH,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,6-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Shroomed,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-1,0-0,0-1,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-1,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Vavez, ALP",
Westballz,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,3-8,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-1,0-1,0-0,0-0,0-0,5-1,0-0,0-0,N/A,1-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,2-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,1-2,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,3-2,0-0,0-1,0-0,0-0,0-0,3-1,0-0,0-1,1-0,0-0,0-0,2-4,0-0,2-1,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-2,0-0,1-0,0-0,0-1,1-1,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,"ALP, Breakfast, Breakfast, MegaXmas, Gooms, Khalid, NoFuxGiven",
Medz,0-1,0-0,0-0,2-0,0-0,0-0,0-0,0-1,0-1,0-0,0-4,0-1,0-3,0-0,0-0,0-0,0-1,0-0,0-0,1-3,0-1,0-0,0-0,0-0,1-1,0-0,0-0,1-1,N/A,0-0,0-0,0-1,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,7-6,0-0,0-0,0-0,1-0,0-1,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-4,0-0,0-0,0-0,0-0,0-0,0-0,1-2,1-1,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,6-0,0-0,0-0,9-2,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,2-1,0-0,1-1,1-0,0-0,4-2,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,8-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,"DD, Connor, Bimbo, blargh257, Steech, Kürv, PanterA, Zamorita, Zamorita, SuperCuak, Kürv, ycz6, Kürv, Kürv, Kürv",
Professor Pro,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,3-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,6-9,0-0,0-0,2-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-6,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,9-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Renzo, Kingu, max, R23",
2saint,1-1,0-0,0-0,1-1,0-2,0-1,0-0,0-1,0-2,0-0,4-0,0-0,0-2,0-2,2-1,0-0,0-0,0-1,0-0,0-0,0-2,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,1-0,2-1,1-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-0,1-1,1-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,2-1,0-0,1-0,0-0,0-0,0-0,2-1,0-0,0-0,3-2,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,1-4,0-0,1-1,0-1,1-0,3-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-2,1-0,0-0,0-0,1-0,0-1,0-1,2-0,0-0,1-0,1-0,0-0,0-0,2-2,1-1,0-0,0-0,2-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,2-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,1-0,3-0,1-1,,
