ETossed,Wins,Losses
SFAT,"2saint(x2), Aklo(x4), Albert(x3), Aura(x2), Axe(x3), Ben, bobby big ballz(x7), Bones, Chem, Faceroll, Fiction, Free Palestine(x3), Gahtzu(x2), Ginger, KoDoRiN(x6), lloD, Logan(x2), Lucky(x2), Mang0, Medz(x3), Mot$, n0ne/ Bond / wizzyfan109(x2), Pappi(x5), Plup, Professor Pro, Rocky(x5), S2J(x5), SFOP(x2), Sora/Joshman, Tai, Zamu(x2), Zealot, ","Aklo, aMSa, bobby big ballz(x5), Epic Murloc, Gahtzu, Ginger(x2), Hungrybox(x3), iBDW(x3), KoDoRiN(x6), Magi(x3), Plup(x3), Rocky, S2J(x5), Smashdaddy, Soonsay, Trail, Wizzrobe(x2), Zain, Zamu, ",
moky,"2saint(x2), Aklo, Axe, bobby big ballz(x2), Bones, Dacky, Drephen, Gahtzu, Ginger(x5), Jflex(x2), Jmook, n0ne/ Bond / wizzyfan109(x2), Polish, Wizzrobe, ","Aero, DontTestMe(x2), Ginger, Hungrybox(x2), iBDW, JHTL, Joey Donuts, Kalamazhu, KoDoRiN, Logan, Mang0(x2), n0ne/ Bond / wizzyfan109(x2), S2J, Siddward, Suezo, Swami, Syrox(x2), totally butts, Zain, ",
n0ne/ Bond / wizzyfan109,"2saint, Aklo(x3), Albert, Ben(x7), bobby big ballz(x6), Dacky, Far!, Fizz, Ginger(x8), Hungrybox(x2), Jflex(x3), Juicebox, KoDoRiN(x4), Logan, Lucky(x3), Magi(x3), moky(x2), Mot$, NoFluxes, nut, Panda, Polish, S2J, Skerzo, Slowking, Swift, TheSWOOPER, Wizzrobe, Zamu(x2), Zuppy(x3), ","2saint(x2), Aklo(x2), aMSa, Ben, Colbol, Fiction, Gahtzu(x3), Ginger, Hungrybox(x5), Jmook, KoDoRiN(x3), lloD, Lucky(x3), Mang0, moky(x2), Mot$, OkayP.(x2), Panda, Plup(x2), Polish, S2J, SFAT(x2), SluG, Zain, ",
Trif,"Aklo, aMSa, Axe, Ben, Faceroll(x2), Frenzy(x8), Ice(x3), Jah Ridin'(x2), Nicki(x3), Pipsqueak(x3), Professor Pro, Sora/Joshman, ","Frenzy(x2), Leffen(x5), Levingy, Mahie, max, Pipsqueak(x2), Polish, Professor Pro(x3), skullbro, Wizzrobe, ",
Faceroll,"Albert(x2), Android 0, Ben, billybopeep, Fiction, Jflex, Kalamazhu(x2), KJH, KoDoRiN(x4), Magi, Medz, Mot$, Pappi, Sora/Joshman, ","Aklo, Axe(x2), Gahtzu, Lucky(x3), null, Plup(x2), SFAT, Spark, Trif(x2), ",
Lucky,"Albert, Android 0(x3), Ben(x2), bobby big ballz(x10), Dacky(x2), Drephen, Faceroll(x3), Fiction, Gahtzu, Hungrybox, Jflex(x5), Justus(x2), Kalamazhu, KoDoRiN(x5), Medz(x3), Michael, Mot$, n0ne/ Bond / wizzyfan109(x3), null(x5), Pappi(x3), Polish, Rocky(x2), S2J(x4), SFOP(x2), Shroomed, Skerzo, Slowking(x2), Spark, TheSWOOPER, Zamu, ","aCID, Aklo, Android 0, Asashi, Azel, Ben, Blues Clues, bobby big ballz(x8), Casper, Dacky, Eddy Mexico, Fiction(x4), Gahtzu(x2), Ginger(x2), Goosekhan, KoDoRiN(x10), Kürv, Logos, Magi, Mang0, Medz, MrG, mvlvchi, n0ne/ Bond / wizzyfan109(x3), null, Palpa, Pappi, Plup, Polish, RedX, Rishi, Rocky(x2), S2J(x4), SFAT(x2), SFOP, Smashdaddy, Soonsay, Spark(x2), Steech, TheRealThing, Wassabi, Westballz(x3), Wizzrobe, yingling, ",
Ginger,"2saint(x2), Aklo(x5), Axe(x4), Ben(x8), bobby big ballz(x14), Bones(x2), Chem(x2), Colbol, Dacky, Drephen(x14), Fiction(x2), Gahtzu(x3), Hungrybox(x6), iBDW, Ice, Jflex(x7), Jmook, Juicebox, Khryke(x2), KJH, KoDoRiN(x3), Krudo(x2), Logan(x2), Lucky(x2), Magi(x3), Medz, moky, Morsecode762(x3), Mot$(x3), n0ne/ Bond / wizzyfan109, NoFluxes(x2), null, Panda(x2), Pappi(x3), Polish(x3), Rocky, Ryobeat(x3), SDJ, SFAT(x2), SFOP, Skerzo(x4), Slowking, SluG(x2), Swift, TheSWOOPER(x2), Warmmer(x2), Zamu(x2), Zealot, Zuppy(x3), ","Aklo(x3), ARMY, Axe, Bbatts, Ben(x3), bobby big ballz(x5), C-bass, Den, DontRestMe, Drephen(x3), Flash, Gahtzu(x4), Hungrybox(x10), iBDW, Jmook(x2), KJH(x6), KoDoRiN(x7), Kuyashi(x2), lloD, Logan(x2), Magi, MOF, moky(x5), n0ne/ Bond / wizzyfan109(x8), NoFluxes, Pappi, Plup, Polish, S2J(x2), SFAT, SFOP(x2), Skerzo, SluG, Sora/Joshman, Swift, Wizzrobe(x3), Zain, ",
Spark,"Faceroll, Fiction(x2), Lucky(x2), Panda, Ringler, ","Chape, Colbol, Fiction, Lucky, Pipsqueak, Polish, ",
lloD,"Aklo, Aura, Ben, bobby big ballz, Bones, Drephen, Gahtzu, Ginger, Jah Ridin', Khryke(x2), KoDoRiN, Logan, Mot$, n0ne/ Bond / wizzyfan109, NoFluxes, Panda, Polish, Rishi, SFOP, Slowking, Zain, Zamu, ","2saint, Aklo(x3), aMSa, Balloon Day, Ben, bobby big ballz, Bones, Drephen, DrLobster, Gahtzu, Hax$, Hungrybox, iBDW, Mekk, Neologism, Pappi, Polish(x7), SFAT, Wizzrobe(x2), Zain, ",
KJH,"Drephen(x2), Free Palestine, Ginger(x6), TheSWOOPER, ","Faceroll, FatGoku, Ginger, ",
Shroomed,"bobby big ballz, Justus, Mekk, Pappi, ","Aklo, ALP, Android 0, Ben, billybopeep, bobby big ballz, Lucky, Panda, Ringler, Rocky, S2J(x2), TheRealThing, TheSWOOPER, Vavez, ",
Medz,"Aura, Axe(x2), Ben, billybopeep, bobby big ballz(x6), Dacky(x2), Far!(x10), Jflex, Justus, Khryke, Lucky, Magi, Pappi(x2), SDJ, Secrets, Warmmer, ","ARMY, Ben(x2), blargh257, Blues Clues, bobby big ballz(x6), Connor, Dacky, Faceroll, Far!(x2), FatGoku, Fiction, Gahtzu, Ginger, Hungrybox, iBDW, KoDoRiN(x2), Kürv(x5), Lucky(x3), Panda, PanterA, Pappi, Plup, Quaff, Rocky, S2J(x4), Salt(x2), SFAT(x3), Smashdaddy(x4), Soonsay(x2), Steech, SuperCuak, Westballz, ycz6, Zamorita(x2), ",
Professor Pro,"Chape, Frenzy(x6), Ice(x3), Jah Ridin'(x3), Nicki(x2), Panda, Trif(x3), Zamu, ","Frenzy(x9), Ice(x3), Kingu, Kins0, Leffen, Magi, max, Pipsqueak(x6), R23, Renzo, SFAT, Solobattle, Trif, ",
2saint,"Aklo, Albert(x2), Aura, Axe, billybopeep(x2), bobby big ballz(x2), Bones(x3), Colbol, Gahtzu, Hungrybox, Jmook, Juicebox, Kalamazhu, KoDoRiN(x2), lloD, Logan(x2), Michael, Mot$(x2), n0ne/ Bond / wizzyfan109(x2), Pappi, Ryobeat, S2J(x4), SDJ, SFOP(x2), TheSWOOPER, Wally, Zealot, Zuppy, ","Aklo(x4), Albert, Axe, Bbatts, Ben, bobby big ballz, Captain Smuckers, Colbol, Eddy Mexico, FatGoku, Ginger(x2), Hax$, Hungrybox, iBDW(x2), Jflex(x2), Just Jason, Justus, KoDoRiN, Logan(x2), Lotfy, moky(x2), n0ne/ Bond / wizzyfan109, Plup, Rocky, SFAT(x2), SluG(x2), TheRealThing(x2), Wizzrobe(x2), Zain, Zuppy, ",
