ETossed,Wins,Losses
Luigi Ka-Master,"Aura, ","Aura, Azel, Bladewise, FatGoku, Fiction, Hungrybox, Nicki, Pocket Sand, Sock, Stiv, ycz6, ",
Kurv,"","",
Frenzy,"Aura, Ice(x6), Jah Ridin'(x3), Jmook, Krudo, Leffen, Nicki, Panda(x2), Pipsqueak(x3), Professor Pro(x9), Trif(x2), ","abbearv, Albert, Ice, Jah Ridin', Kingu, Kins0(x2), Leffen(x4), Levingy, Meady(x4), Mew2King, MINT(x2), Nicki(x3), Niklas2912, Nintendude, Pipsqueak(x7), Prins Esse, Professor Pro(x6), raoul, Sharp, Solobattle(x8), Trif(x8), Wizzrobe, ",
bobby big ballz,"2saint, Aklo(x6), Android 0, Aura(x3), Axe(x2), Ben(x13), Bones(x5), Chem(x5), Colbol, Dacky(x4), Drephen(x6), Eggy(x3), Far!, Gahtzu(x4), Ginger(x5), Jflex(x16), Jmook(x2), Juicebox(x2), Justus(x5), Khryke(x3), KoDoRiN(x4), lloD, Lucky(x8), Medz(x6), Michael(x2), Mot$(x3), NoFluxes(x3), Palpa(x2), Panda(x3), Pappi(x11), Rocky(x8), Ryobeat, S2J(x2), SDJ(x13), SFAT(x5), SFOP(x6), Shroomed, Skerzo, Slowking, Warmmer(x3), Zain, Zamu(x4), Zealot, Zuppy(x3), ","2saint(x2), aCID, Akir, Aklo(x16), Albert(x2), Amrak, Aura, Axe(x2), Axon, Bananas, Bbatts(x2), Ben(x8), Blassy, Blues Clues(x2), Bones(x3), Brand0, Chango, Chem, Cilan, CmG, Colbol(x2), Dacky(x2), DarkHero(x3), Dawson(x2), DD, DontRestMe, DontTestMe, Dova(x2), Dream, Drephen(x8), Eddy Mexico(x9), Egg$, Faust(x2), Fiction, Floppy, Forrest(x3), Fury, Gahtzu(x12), Ginger(x14), Golden(x2), Hax$(x3), HaxMoneyHulkHogan, htwa(x3), Hungrybox(x8), Husband(x2), Iifter(x2), INDY, Iron, Ivayne(x2), Jank, Jflex(x4), JHTL, JJM, Jmook, Jo3dirt, Joey Donuts, JSalt(x3), Just Jason, Kapachi, Kata(x2), Knut, KoDoRiN(x8), Komodo, Koobie, Kürv(x5), LAG, lloD, Logan(x4), Lucky(x10), Magi, Matteo, Medz(x6), Midnight Blue, mintea(x2), Missinglinc, MOF(x2), moky(x2), n0ne/ Bond / wizzyfan109(x6), Neologism(x4), NoFluxes(x5), null, OkayP.(x2), Palpa, Pancakes, PanterA, Pappi(x17), Phantom Airline, Pilot, Polish(x2), prof, Quaff(x5), Rocky(x5), Ryobeat, S2J(x18), Salt(x3), SDJ(x9), SFAT(x7), SFOP(x7), Shroomed, Skerzo, Slowking(x2), SluG, Smashdaddy(x3), soccermom69, Soonsay(x2), SpacePigeon, Steech, Stiv, Syrox, Tai, TheSWOOPER, Townes, Typhoon(x3), Umarth, Umbr, Unsure, Vish, Westballz, Wevans(x2), William, Yamasaki, yingling, Zain, Zamu, Zealot, Zeeker(x2), Zuppy(x3), ",
Nicki,"Fiction, Frenzy(x3), Jah Ridin', Luigi Ka-Master, Pipsqueak, ","Charon, Frenzy, Hungrybox, Ice(x2), Kins0, Leffen(x4), Mahie, MINT(x2), Pipsqueak(x4), Polish, Professor Pro(x2), Sock, Solobattle, Trif(x3), ",
Rocky,"2saint, Android 0(x2), Aura(x2), Ben, bobby big ballz(x5), Chem, Dacky(x2), Gahtzu, Jflex, Justus, Krudo, Logan, Lucky(x2), Medz, Panda, Pappi(x5), Polish, S2J(x3), Secrets, SFAT, SFOP, Shroomed, Slowking, Zealot(x2), Zuppy, ","Ben, Blues Clues, bobby big ballz(x8), Dacky, Fiction, Ginger, Hungrybox, Jflex, Kalamazhu, KoDoRiN(x3), KoopaTroopa895, Logan, Lucky(x2), Magi, MT, Quaff(x2), S2J(x5), Salt, SFAT(x5), Wizzrobe, Zamu, ",
Panda,"Aura, Ben(x4), Colbol, Fizz, Gahtzu, Jah Ridin'(x2), Jflex, Justus, Khryke(x4), KoDoRiN, Krudo(x4), Medz, Mot$(x2), n0ne/ Bond / wizzyfan109, NoFluxes(x3), Polish, Shroomed, Slowking, TheSWOOPER, Zuppy(x4), ","Ahmad, Aklo(x3), Anwarrior, Bbatts, Ben, bobby big ballz(x3), Bones(x2), Captain G, Colbol(x2), dalbull, Dragoid, E-tie, Fank, Fiction, Forrest(x2), Frenzy(x2), Gahtzu(x2), Ginger(x2), htwa, Hungrybox(x3), iBDW, Jflex, Kadence, Kata(x4), KoDoRiN(x2), Komodo(x2), Kuyashi, lloD, Logan, Lotfy(x2), Louis, macdaddy69, Mot$, n0ne/ Bond / wizzyfan109, Neologism, NoFluxes, Oaty, Palpa, Panos, Pappi(x2), phoenix, prof, Professor Pro, Rishi, Rocky, S2J, Siddward, Slowking, SluG, Spark, The Leaf, tiebex, Unsure, Westballz, Younger, Zamu(x2), Zuppy, ",
TheSWOOPER,"Ben(x3), bobby big ballz, iBDW, Magi, Michael, Mot$(x2), Pappi, Ryobeat(x2), Shroomed, Skerzo, Slowking, Wally(x4), Warmmer(x5), Zamu(x2), ","2saint, Aklo(x4), Ben(x4), Captain Smuckers(x2), Colbol, Dawson, Drephen(x3), DrLobster(x2), Eggy, Gahtzu, Ginger(x2), Jflex(x9), JoJo(x2), JSalt(x3), Just Jason, Kalvar, KJH, Kürv, Logan(x2), Lucky, Mot$(x8), n0ne/ Bond / wizzyfan109, NoFluxes, Panda, Pappi, Polish(x3), Rishi, Ryobeat, S2J, Salt(x2), Swedish Delight, The Leaf, Wally, Warmmer(x3), Whiskers, Wizzrobe, Zamu, Zuppy(x2), ",
Fizz,"","Aero(x6), Aklo, Anwarrior(x2), Arpy(x3), Azzu, Bbatts, Ben, Ben Snape, Blendtec(x2), Blue, bob, Bones, Books, CmG, Dawson(x2), Deadhand, Dz, Eggy(x2), Epoodle, flatline, Forest, FoxCap, Freezus, Frost, Gemini, GI0GOAT, Grab, Grab2Win(x2), Hax$, Hyunnies, ight, Jamrun, Jank, Jflex, JHTL, Joe(y) Bats, Joey, JSP, K8A, Kalvar, Kendrick(x2), Khryke, Killablue, Knubs., Larfen(x4), Lotfy, lovestory4a, Lowercase hero, Mattchu(x3), Matwood, Michael(x11), Mot$, n0ne/ Bond / wizzyfan109, NoFluxes, Ober(x5), ORLY(x7), Panda, Pleeba, plush, Rahma Noodles, Rockin, Rooster, Russell, Ryse, Schnurb, Seal, shabo, shoelegend88, Simon, Skerzo(x6), Slowking(x2), squizzage, Suezo, Tao, techboy, Tomatoman, tomdollars, TPN, Travioli, Unsure(x2), Wally, Warmmer, Younger, yuk, Zab, ",
Krudo,"Android 0, Bones, Chem(x3), Dacky, Jflex(x2), Zuppy, ","Aklo, Axe, Eddy Mexico, Forrest(x3), Frenzy, Gahtzu, Ginger(x2), Golden, Grab, iBDW, Kuya, Magi, Michael, Oaty, Panda(x4), Polish, Profanity, Rocky, Skerzo, Slowking, SluG, Suezo, Zamu, Zuppy, ",
Sora/Joshman,"Axe, Ben, Ginger, null(x2), nut, Sock(x7), ","Davox22, Faceroll, Fiction(x2), Jmook, KoDoRiN, McCloud, SFAT, Swift, Trif, Zain, ",
Aklo,"2saint(x4), Albert, Aura, Axe(x3), Ben(x4), bobby big ballz(x16), Bones(x2), Captain Smuckers(x4), Chem, Colbol(x3), Drephen(x2), Eggy, Faceroll, Fizz, Gahtzu(x3), Ginger(x3), Hungrybox(x2), iBDW, Jflex(x11), Jmook, Kalvar, KoDoRiN, Krudo, lloD(x3), Logan(x3), Lucky, Michael(x2), Mot$(x3), n0ne/ Bond / wizzyfan109(x2), NoFluxes(x3), Panda(x3), Pappi, Polish(x2), Rishi(x3), SFAT, SFOP(x3), Shroomed, Slowking, SluG(x2), Swift(x2), TheSWOOPER(x4), Wally(x3), Warmmer(x3), Zain, Zamu(x4), Zuppy(x4), ","2saint, aMSa, Axe, Bbatts, Ben(x4), Blea Gelo, bobby big ballz(x6), DontRestMe, Forrest, Gahtzu(x2), Ginger(x5), Grab, grownworkingman, Hax$(x3), Hungrybox(x9), Ice, Jamrun, Jflex(x4), Jmook, Kalamazhu, Kata, KoDoRiN, Kürv, lloD, Logan(x4), Lunar Dusk, Magi, moky, n0ne/ Bond / wizzyfan109(x3), Nathan, Plup, Polish, SFAT(x4), SFOP, Sicca, Swift(x2), Trif, Wally, Warmmer, Wizzrobe(x3), Younger, Zain, Zamu, Zuppy(x3), ",
Android 0,"Fiction(x2), KoDoRiN(x3), Lucky, null(x6), nut(x4), Ringler, Secrets, Shroomed, Sock, ","Albert, ARMY, Asashi, Aura, Axe, bobby big ballz, Casper(x3), cliché, Eddy Mexico, Faceroll, Fiction(x6), Franz, haunter, Jace, KoDoRiN(x8), Krudo, Kürv(x3), Lengüitas, Lucky(x3), MegaXmas(x3), null(x5), nut(x2), Owl, Pappi, Rei, Rocky(x2), rom, S2J(x3), salami(x2), Santiago(x2), SDJ, Smashdaddy, Squid, Venelox, Westballz(x3), ",
Ben,"2saint, Aklo(x4), Albert(x2), bobby big ballz(x8), Bones(x7), Chem, Colbol, Drephen(x2), Eggy(x3), Fizz, Gahtzu(x2), Ginger(x3), Hungrybox(x9), Jflex(x13), Justus(x3), Kalvar(x3), Khryke(x2), KoDoRiN(x2), lloD, Logan(x4), Lucky, Magi, Medz(x2), Mekk, Michael(x3), Mot$(x4), n0ne/ Bond / wizzyfan109, NoFluxes(x4), Panda, Pappi(x10), Polish(x2), Rocky, Ryobeat, SDJ(x2), Shroomed, Skerzo, Slowking(x3), Swift, Tai, TheSWOOPER(x4), Wally, Wizzrobe, Zain, Zamu(x4), Zuppy, ","Akir, Aklo(x4), Albert, Ambisinister, Axe(x3), Bbatts(x2), Blea Gelo, bobby big ballz(x13), Bones(x2), Colbol(x6), Dacky, DannyPhantom, Dawson, Dimension(x3), DontRestMe, DontTestMe, Drephen(x5), Eddy Mexico(x2), Faceroll, FMB5k, Gahtzu(x10), Ginger(x8), GoodEnough(x2), Hax$(x3), Hungrybox(x6), iBDW, Jflex(x3), JSalt(x4), Just Jason, K8A, Kalamazhu(x2), Kata, Koder, KoDoRiN(x10), Komodo, lloD, Logan(x7), Lucky(x2), Lunar Dusk, Magi(x2), Medz, MOM!, Mot$, n0ne/ Bond / wizzyfan109(x7), Neologism, OkayP., Panda(x4), Pappi(x3), Plup, Polish(x3), Preeminent(x3), prof, Reeve, Rocky, S2J(x3), Salt, SFAT, SFOP(x2), shed ninja, Slowking(x2), SluG(x3), Soonsay(x2), Sora/Joshman, TheRealThing, TheSWOOPER(x3), Trail, Trif, Warmmer, Zamu(x2), Zealot(x3), Zuppy(x2), ",
Bones,"Ben(x2), bobby big ballz(x3), Chem, Fizz, Hungrybox, Jflex(x2), Khryke(x7), lloD, Logan, NoFluxes(x2), Panda(x2), Pappi(x2), SDJ, Skerzo, Wally(x2), Warmmer, Zealot, Zuppy(x2), ","2saint(x3), 404Cray, 901|Austin, Akir, Aklo(x2), Aura, Bbatts(x2), Ben(x7), Blea Gelo, Blues Clues, bobby big ballz(x5), BZimm, Captain G, Colbol(x2), Dawson, Den, Drephen, Eddy Mexico, Eggy, Fank, Forrest(x2), Gahtzu, Ginger(x2), Grab(x2), Hungrybox, Jflex, Jmook(x2), JSalt(x2), Khryke(x3), Komodo, Krudo, Kuyashi(x3), lloD, Logan, Mad Tyro, Michael, moky, Mot$, mvlvchi, Neologism(x2), Pappi(x2), Pleasantries, Polish, Prometheus, Reesch, Reeve, Rishi(x2), Ryobeat, sambob, Seven, SFAT, Skerzo(x2), Slowking, SluG, Soonsay, Swift(x3), TheRealThing(x3), Wally, Warmmer, Zain, Zealot, Zeeker(x2), Zuppy, Zuraco, ",
Captain Smuckers,"2saint, TheSWOOPER(x2), Wally, Warmmer, ","Ad, Aklo(x4), Brad(x2), Cannagar, Dawson(x2), DVNO, FLiiNcHy(x2), Heartstrings(x2), Jflex(x6), Jmook, JoJo(x2), Just Jason(x3), K8A, Kikoho, Leighton, Swift, Wally, Warmmer(x2), Whiskers, YAMI, YokaiNels, Zealot, ",
Chape,"Spark, ","Aisengobay(x3), Akir, Ant10quia, Arty, Bbatts(x2), BIRA, Blackayboard, Blassy, caioicy(x2), Colbol, DRGS, Drop, Guasausky(x2), hp(x9), inchou(x4), Ishigami(x2), Jo$ha(x3), kodo(x3), Komodo, Kuya, Laj, Leso, LI4R, Limón, Lopino(x2), Mave(x10), MCC, MOM!, NDJ(x3), Papyrus(x2), Pipo, Pipsqueak, Poket, Polish, Professor Pro, Raikin(x8), Rocket(x3), Salt(x2), SigMa, Skyy, Tewa, tiebex, Travioli, Yeti, Zab, Zera(x2), Zim(x2), ",
Chem,"Albert, bobby big ballz, Free Palestine, iBDW, Jflex(x2), Jmook, Justus, Khryke, SDJ(x2), Skerzo, Warmmer, Zamu, Zuppy(x2), ","Aklo, Bbatts(x2), Ben, Blea Gelo, bobby big ballz(x5), Bones, BZimm, Chiefn_, Cilan, Dawson(x3), Dimension(x2), DontTestMe, Drephen, Evil Morty, Fank, FLiiNcHy, Gahtzu(x3), Ginger(x2), Godslayer903, Golden, grownworkingman, GXM, Hax$, htwa(x4), Hungrybox, iBDW(x2), Jmook, JSalt, Juicebox, Kata(x2), Khryke(x2), Kikoho(x2), Krudo(x3), Logan, Magi, Merktality(x2), mvlvchi, Neologism(x2), Nix, Pappi(x3), Polish, Reeve(x2), Rocky, SFAT, Slowking, Sp1nda, Suezo, Tornado Man, Umbr(x5), Uncle B, Wally, Westballz(x2), Whiskers, Woley, X-Rey(x2), Younger, Zamu, Zuppy, ",
Dacky,"Aura(x2), Ben, bobby big ballz(x2), Colbol, Kalamazhu, Lucky, Medz, Mot$(x2), Pappi, Rocky, SDJ, SluG, ","Albert, bobby big ballz(x4), Eddy Mexico(x2), FatGoku(x5), Gahtzu, Ginger, iBDW(x2), Jamrun, KoDoRiN, Krudo, Kürv, Lucky(x2), Medz(x2), moky, n0ne/ Bond / wizzyfan109, Plup, Rocky(x2), S2J(x3), Soonsay(x2), Typhoon, Zamu, Zealot, Zuppy, ",
Eggy,"Bones, Fizz(x2), Gahtzu, Kalvar, Khryke(x2), Logan, Mekk, NoFluxes(x8), null, Pappi(x2), SDJ, Skerzo, TheSWOOPER, Warmmer, Zealot, ",".Dempt, Aklo, Arpy(x2), Azzu, Bbatts(x2), Ben(x3), Blazen, bobby big ballz(x3), CAUP, Ceja, coffee, Dawson(x3), DontRestMe, DontTestMe, Dragoid, Duff, Emanon, Fank, Faust, FMB5k, FoxCap, Free Palestine, Freezus(x2), GI0GOAT, GodTouch, Golden, Googlyeyed, haunter, Hungrybox, Hyunnies, Ishigami(x2), Jada, Jflex(x4), Jodokast, Joe(y) Bats, JSalt(x6), Juicebox, justiceforpersona, Justin Joe, JustJoe, K8A, Kata(x3), Killablue, Koobie, Larfen, Lengüitas, Leof, Logan(x3), Lotfy(x2), LuigigoShard, Mad Tyro, Mekk(x4), Michael, MOF, Morsecode762, Mot$, NoFluxes(x6), Ober(x4), ORLY, Question, Rasen(x2), Salt, Skerzo(x5), Slowking(x4), Steoh, Suezo(x2), The Brig, TPN(x2), Trash, Unsure(x5), Warmmer(x2), Wicked_, Zamu, Zealot, Zuppy, ",
Far!,"Khryke, KoDoRiN, Logan, Medz(x2), ",".jpg(x2), aCID, ALP, aMSa, AR0, bobby big ballz, Cilan, Dova, Eddy Mexico(x4), ESPONJA, Fist Mexico, Gahtzu, Jace, JCAM(x2), Jmook, JSalt, K8A, Kalamazhu, KoDoRiN, Kürv(x2), Lengüitas, Medz(x10), mintea, n0ne/ Bond / wizzyfan109, OkayP., PanterA, Px-Hylian, Quaff, Rei, rom, Salt(x2), TheRealThing, X-Hylian, Yu(x2), Zealot(x2), ",
Flash,"Ginger, Juicebox, Slowking, ","essy, Kibbles, Lord of Runescape, TheRealThing, Wizzrobe(x3), ",
Jah Ridin',"Frenzy, Pipsqueak, ","abbson, Frenzy(x3), Ice(x2), Isdsar, Kins0(x3), KoDoRiN, Kuya, Leffen(x3), Levingy(x2), lloD, mayhem092, MINT, Nicki, Panda(x2), Pipsqueak(x2), Professor Pro(x3), raoul(x2), RedBlaze, Solobattle(x4), Trif(x2), ",
Jflex,"2saint(x2), Aklo(x4), Aura(x3), Ben(x3), bobby big ballz(x4), Bones, Captain Smuckers(x6), Eggy(x4), Fizz, Gahtzu(x2), Justus(x3), Kalamazhu, Kalvar(x2), Khryke(x4), KoDoRiN, Logan(x2), Mekk, Michael, Morsecode762, Mot$(x9), NoFluxes(x6), null, Panda, Pappi(x3), Rocky, SDJ, Skerzo, Slowking(x4), TheSWOOPER(x9), Wally(x5), Warmmer(x3), Zain, Zuppy(x3), ","$limChang, 404Cray(x2), Akir(x2), Aklo(x11), Axe, Azel(x2), Bbatts(x5), Ben(x13), Blea Gelo, Blues Clues, bobby big ballz(x16), Bones(x2), Chem(x2), Chopsteezy, cockbread, Colbol(x2), Crow, Dawson(x2), Dimension, DontTestMe(x2), Drephen(x6), Eddy Mexico, Epoodle, Erik(x3), Fable, Faceroll, Fiction, Forrest, Gahtzu(x5), GGS, Ginger(x7), Golden, Googlyeyed, Grab(x2), Hax$, htwa(x2), Hulka, Hungrybox(x6), Husband, Jamrun, JJM, Jmook(x2), JoJo(x2), JSalt, Juicebox, K8A(x2), Knut, KoDoRiN(x2), Koobie, Krudo(x2), Kuyashi, Kürv(x4), Lengüitas, Logan(x3), Logos, Lotfy, Lucky(x5), LuigigoShard, Medz, MOF(x3), moky(x2), Morsecode762(x2), Mot$(x6), n0ne/ Bond / wizzyfan109(x3), Neologism(x2), OkayP., Panda, Pappi(x9), PudgyPanda(x2), rabit!, Rei, Rishi, Rocky, Russell, RyGuy, S2J(x2), Salt(x3), SDJ, Siddward, Skerzo(x3), SluG(x4), Smashdaddy(x2), Soonsay, Stango, Swedish Delight(x2), Swift(x3), Trail, Unsure(x2), Wally(x5), Warmmer(x6), Whiskers, Zamu(x4), Zealot(x3), Zeeker, Zion(x2), Zuppy(x8), ",
Jmook,"Aklo, bobby big ballz, Bones(x2), Captain Smuckers, Chem, Drephen, Far!, Gahtzu, Ginger(x2), iBDW, Jflex(x2), Kalamazhu, Magi, Mot$, n0ne/ Bond / wizzyfan109, Polish, Sora/Joshman, Zain, ","2saint, Aklo, aMSa, bobby big ballz(x2), Chem, Frenzy, Ginger, Komodo, moky, S2J, ",
Juicebox,"Chem, Drephen(x3), Eggy, Free Palestine, Jflex, Khryke(x2), Mot$, NoFluxes(x2), SFOP, Zuppy, ","2saint, Albert, Bbatts(x2), bobby big ballz(x2), Dash, Drephen(x3), Fank(x2), Flash, Gahtzu(x3), Ginger, iLL BiLL, Leof, n0ne/ Bond / wizzyfan109, Pappi(x3), Peachy Keen, Plup, Polish(x2), Quote, Skerzo, Stark, TPN, Zuppy, ",
Justus,"2saint, Palpa, Pappi, Ringler, SDJ, ","Akir, Alan, Albert, Axe, Ben(x3), Blues Clues(x3), bobby big ballz(x5), Captain G, Chem, cool bruh, DannyPhantom, DarkHero, Firebolt, FMB5k, Fro116, Fury, GGS, Gooms, htwa, Hungrybox, Jflex(x3), Jochi, JSalt(x3), Just Jason, Khryke, KoDoRiN, Koobie, Kürv, LAG, Logos(x3), Lotfy, Lucky(x2), LuigigoShard, Medz, NOOT(x4), Palpa, Panda, Quaff(x2), Ringler, Rocky, Salt, SDJ, SFOP(x3), Shmeeli(x2), Shroomed, Sicca, Skerzo, Smashdaddy(x2), Soonsay, SooYoung, Squid, Steech, TheRealThing, Typhoon(x3), Umarth(x2), Wassabi, ycz6(x3), YungWaff, Zamu, Zeeker, Zion, ",
Khryke,"Aura(x2), Bones(x3), Chem(x2), Fizz, Justus, Logan, NoFluxes(x2), Skerzo, Slowking, Wally, ","Aura(x2), Bbatts(x3), Ben(x2), Blues Clues, bobby big ballz(x3), Bones(x7), bonfire10, BRYN, BZimm, C-bass, Casper, Chem, CmG, Dao, Dash, Dawson(x3), DontTestMe, Douglas.J.Gov, E-tie, Eggy(x2), Evan, eve, Fank, Far!, Forrest, Fro116(x2), g-regulate, Ginger(x2), Goobz, Googlyeyed(x3), htwa(x2), Hulka, Hungrybox, I'm Michael BTW, Inky, Jank, JCAM, Jeffthecheff, Jflex(x4), Joey Donuts, Juicebox(x2), Kalvar, Kata, Komodo, Koobie, lloD(x2), Lotfy(x7), Lukademus(x4), Magi, Marrgasm, Medz, Mot$(x2), Neenor, Neologism(x2), NoFluxes(x2), Panda(x4), Pappi(x2), Polish, prof, Prometheus(x3), PROMETHEUS, Quaff, rabit!, Rishi, S2J, Salt(x2), Seven, Siddward(x2), Skerzo, Slowking(x2), SluG, SmashBob SquarePants, Sneakywill, Sp1nda, spaceman, Stiffff, SubTails, Suezo, Swift(x2), Toast, Travioli, Typhoon, Vianny, Wally, WAMatt, Warmmer(x4), Whiskers, William, Younger(x3), ",
Logan,"2saint(x2), Aklo(x4), Albert, Aura(x3), Ben(x7), bobby big ballz(x4), Bones, Chem, Colbol(x3), Drephen, Eggy(x3), Gahtzu, Ginger(x2), Jflex(x3), KoDoRiN, Magi, moky, Mot$, NoFluxes, Panda, Rocky, Ryobeat(x2), Skerzo, Slowking(x2), Swift, TheSWOOPER(x2), Warmmer(x3), Zamu(x2), Zuppy(x5), ","2saint(x2), Aklo(x3), Aura, Axe(x2), Ben(x4), Bones, Colbol, Dawson, DontTestMe(x2), Eggy, Equal, Far!, FatGoku, Forrest, Gahtzu(x2), Ginger(x2), Hax$(x3), Hungrybox, iBDW(x2), Jflex(x2), JSalt, Kata(x2), Khryke, KoDoRiN, lloD, MOF, n0ne/ Bond / wizzyfan109, null, Plup, Rocky, S2J(x2), Salt, SFAT(x2), Slowking(x2), SluG(x2), SmashBob SquarePants, Supersponge, Swift, Unsure, Wizzrobe, Zamu, Zuppy, ",
Mekk,"Eggy(x4), Kalvar, lloD, Mew2King, NoFluxes(x2), Palpa(x2), Skerzo(x5), Wally, Zamu, ","Akir, Amrak, Bab Activated, Ben, Brand0, cadenville, ChuDat, Dao, DD(x2), Eggy, Fank, Ford$, Forrest(x2), Gahtzu(x2), grownworkingman, Hax$, htwa, Hyunnies, JCAM, Jflex, Joey Donuts, Komodo, Koobie(x3), Lotfy, maxi, Michael(x5), Morrito, Nanami (aka PurpleZ), Ober, Palpa(x6), Pappi(x5), Pleasantries, Pleeba(x2), Reeve, Salt, SDJ(x2), Shroomed, Skerzo, Smashdaddy(x2), Steech, Suezo, SuperCuak, Swedish Delight, Tai, Tanooki, The Leaf(x4), Umarth, Unsure, Vish, Westballz(x2), Whiskers, Zamorita, Zamu(x2), Zuppy, ",
Mot$,"Ben, Bones, Eggy, Fizz, Jflex(x6), Kalvar, Khryke(x2), n0ne/ Bond / wizzyfan109, Panda, Pappi(x2), Ryobeat, Skerzo, Slowking, TheSWOOPER(x8), Wally(x12), Warmmer, Zuppy(x2), ","2saint(x2), 404Cray(x2), Aklo(x3), Bank, Bbatts, Ben(x4), Bigbuffalo, bobby big ballz(x3), Dacky(x2), Dawson, Dimension, Erik(x2), Error(x4), Fable, Faceroll, FendrickLamar, Fiction, Forrest, Free Palestine, futtbucker, Gahtzu, Ghost Rider, Ginger(x3), Hax$, HOBORG(x2), iBDW, iLL BiLL, Jamrun, Jflex(x9), Jmook, JoJo(x3), Juicebox, Just Jason(x3), K8A, Kalvar(x2), KoDoRiN, KoopaTroopa895, Leighton, lloD, Logan, lozplyr89, Lucky, LuigigoShard, Magi, Majersk, Michael, Morsecode762, Muscoman, n0ne/ Bond / wizzyfan109, Panda(x2), Panos(x2), prof, Reeve, SFAT, SFOP, Skerzo(x2), SloX(x3), SluG(x3), Swedish Delight(x2), Swift, The Leaf, TheSWOOPER(x2), Trail, Wally(x10), Warmmer(x3), Whiskers, YokaiNels, Younger, Zamu(x3), Zuppy(x2), ",
NoFluxes,"Aura(x4), bobby big ballz(x5), Eggy(x6), Fizz, Ginger, Kalvar(x2), Khryke(x2), Morsecode762, Panda, Pappi(x5), SDJ, Secrets, Skerzo(x2), SluG(x2), TheSWOOPER, Wally, Warmmer, ",".Dempt(x2), 119Mista, Abe, aCID, Akir(x2), Aklo(x3), Alextrer, ALP, Axe, Badmouth, Balloon Day, Bbatts(x13), Ben(x4), Blue, bobby big ballz(x3), Bobby Frizz, Bones(x2), Busy Boi, Casper, Cast, Chopsteezy, Churze, coffee, Crow(x4), DannyPhantom(x2), Dawson(x2), DD, Dirt, DontTestMe, Drephen(x2), Drio(x3), E-tie, EduPorp(x2), Eggy(x8), Epoodle, Equal, Equilateral, Erik, Esquire, Fank(x2), Faust, FMB5k, Freezus(x4), Gahtzu(x4), Ginger(x2), Gl!tch, Goonus, htwa, Husband(x2), Jamrun, Jflex(x6), Jimmy Jockstrap(x3), Joey Donuts(x2), JSalt(x17), Juicebox(x2), JustJoe(x2), K8A, Kalvar, Kata, KeyboardMarth, Khryke(x2), Komodo(x2), Koobie(x13), Krispy, Leof(x2), lloD, Logan, Lotfy(x6), Mad Tyro(x2), Mekk(x2), MessiSTL, mgmg(x4), Michael(x8), n0ne/ Bond / wizzyfan109, Nanami (aka PurpleZ), Neologism(x2), Ober(x5), OkayP., Paladin(x2), Palpa, Panda(x3), Panko(x2), Pappi(x2), Pi#374(x3), PRIN$E, prof, Prometheus(x2), rabit!, Rasen, Reesch, Russell, S2J, Salt(x2), Scal, SDJ, Seven(x2), shamr0ck, Sirmeris(x2), Skerzo(x5), Slowking(x4), Sneakywill(x2), SpiritxReaper(x2), Stiffff, Suezo(x2), Swedish Delight, The Leaf(x2), tiebex(x2), Toast, TPN(x2), Trail, Travioli, Unsure, Warmmer(x2), Weeg, William(x3), Younger, Zamu, Zealot, Zeeker(x3), Zuppy, ",
null,"Android 0(x5), bobby big ballz, Faceroll, Fiction(x2), KoDoRiN, Logan, Lucky, Magi, nut(x3), Ringler(x2), Tai, ","Android 0(x6), Asashi(x2), blargh257, Casper(x2), Eggy, Fiction(x11), Franz(x3), Ginger, Hobbes, huh, Jace, Jflex, KoDoRiN(x6), Leffen, Lucky(x5), Magi(x2), MegaXmas(x2), nut(x2), Ringler, S2J(x3), SFOP, Skerzo, Smashdaddy, Sora/Joshman(x2), Swift, Westballz(x3), Wizzrobe, ",
Palpa,"Albert, bobby big ballz, Justus, Lucky, Mekk(x6), NoFluxes, Panda, Pappi(x5), SDJ, ","Air, AlyJ, bobby big ballz(x2), bobbybigballz, FatGoku(x2), Justus, KoDoRiN, KoopaTroopa895, Mekk(x2), Pappi(x8), S2J(x2), Salt, SDJ, SFOP(x4), Smashdaddy, tatuwah, The Leaf(x7), Zuppy, ",
