ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Lucky,Ginger,Spark,lloD,KJH,Shroomed,Medz,Professor Pro,2saint,Gahtzu,Albert,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,Kurv,Frenzy,bobby big ballz,Nicki,Rocky,Panda,TheSWOOPER,Fizz,Krudo,Sora/Joshman,Aklo,Android 0,Ben,Bones,Captain Smuckers,Chape,Chem,Dacky,Eggy,Far!,Flash,Jah Ridin',Jflex,Jmook,Juicebox,Justus,Khryke,Logan,Mekk,Mot$,NoFluxes,null,Palpa,Pappi,Pipsqueak,Ringler,SDJ,Secrets,SFOP,Skerzo,Slowking,SluG,Sock,Swift,Wally,Warmmer,Zealot,Zuppy,Other losses
Medz,0-1,0-0,0-0,2-0,0-0,0-0,0-0,0-1,0-1,0-0,0-4,0-1,0-3,0-0,0-0,0-0,0-1,1-3,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,6-6,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,2-1,0-0,10-2,0-0,0-0,1-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,"Westballz, FatGoku, Soonsay, Soonsay, Connor, ARMY, Smashdaddy, blargh257, Steech, Salt, Kürv, PanterA, Smashdaddy, Smashdaddy, Smashdaddy, Salt, Zamorita, Zamorita, SuperCuak, Kürv, Blues Clues, ycz6, Quaff, Kürv, Kürv, Kürv",
Professor Pro,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,3-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,6-9,0-0,2-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-6,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Solobattle, Renzo, Kingu, Kins0, max, R23",
2saint,1-1,0-0,0-0,1-1,0-2,0-1,0-0,0-1,0-2,0-0,4-0,0-0,0-2,0-2,2-1,0-0,0-0,0-0,0-2,0-0,1-0,0-0,0-0,0-0,0-0,N/A,1-0,2-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-0,1-1,1-0,1-0,0-0,0-0,0-0,0-0,2-1,0-0,1-0,0-0,0-0,0-0,2-1,0-0,0-1,0-0,1-0,0-0,0-0,0-0,1-4,0-0,0-1,3-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,1-0,1-0,0-1,0-0,2-2,0-0,2-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-2,0-0,0-0,1-0,0-0,1-0,1-1,"Hax$, Eddy Mexico, TheRealThing, TheRealThing, Lotfy, Just Jason, FatGoku, Bbatts",
Gahtzu,1-1,0-0,0-0,1-0,0-0,0-1,0-1,0-1,0-1,0-0,1-1,0-0,1-2,0-1,3-0,0-0,1-0,2-1,4-3,0-0,1-1,0-0,0-0,1-0,0-0,0-1,N/A,1-0,0-0,0-2,0-0,1-1,4-1,0-1,0-0,0-0,5-14,1-2,1-0,1-0,0-0,1-1,0-0,2-5,0-0,1-0,0-0,0-0,0-0,12-4,0-0,0-1,2-1,1-0,0-0,1-0,0-0,2-3,0-0,10-2,1-0,0-0,0-0,3-0,1-0,0-1,1-0,0-0,0-0,5-2,0-1,3-0,0-0,0-0,2-1,2-0,1-0,4-0,0-0,0-0,5-0,0-0,0-0,1-1,0-0,0-0,0-0,0-3,2-1,0-0,0-0,0-0,0-0,4-0,3-0,"Hax$, Hax$, mvlvchi, Azel, Joyboy, Wicked_, Soonsay, CPU0, Nanami (aka PurpleZ), Unsure, Jank, Kata, Grab",
Albert,1-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-2,0-0,1-1,1-0,0-3,0-0,0-1,0-0,0-2,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-1,N/A,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,1-2,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-1,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Rishi,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-3,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,"Hax$, WillieSchmillieBoyMan, Younger, TPN",
Magi,0-3,0-1,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-2,0-0,3-0,0-0,0-3,0-0,0-1,1-0,1-3,0-0,0-0,0-0,0-0,0-1,1-0,0-0,2-0,0-0,0-0,N/A,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-3,0-0,0-3,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-1,0-0,1-0,0-0,1-0,0-0,2-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-0,0-1,0-0,1-0,0-0,2-1,0-0,2-0,1-0,0-0,0-0,0-0,1-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,"Faust, Kuyashi",
Morsecode762,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,"Bbatts, Kuyashi, Kuyashi, Suezo, Zion, Zion, Excel Zero, Travioli",
Zamu,0-2,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,1-2,0-0,0-2,0-0,0-0,0-1,0-2,0-0,0-1,0-0,0-0,0-0,0-1,0-0,1-1,0-0,0-0,2-1,0-1,N/A,1-0,3-0,0-0,0-0,1-0,0-1,1-0,0-0,0-0,3-2,0-0,0-1,0-2,3-0,0-0,0-0,0-0,1-4,0-0,1-0,2-0,1-2,0-0,1-0,0-0,1-4,0-0,2-4,0-0,0-0,0-0,1-1,1-0,1-0,0-0,0-0,0-0,4-0,0-0,0-0,1-0,0-0,1-2,2-1,3-0,1-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-1,4-0,1-0,0-0,0-0,1-0,1-1,1-0,2-2,2-1,"Smashdaddy, Joey Donuts, Reeve, Reeve, Eddy Mexico, Eddy Mexico, ARMY, Zeeker, Goosekhan, DarkHero, OG Swaglord, Travioli, Salt, Shmeeli, MT, SnooSnoo, Jamrun, Bbatts",
Drephen,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,3-14,0-0,1-1,0-2,0-0,0-0,0-0,0-0,1-4,0-1,0-0,0-0,1-0,0-1,N/A,0-0,0-0,0-0,0-2,0-0,1-0,0-0,0-0,0-1,0-0,0-1,0-0,0-1,0-0,0-0,0-0,8-6,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-2,0-0,5-2,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,6-0,0-1,3-3,0-0,0-0,0-1,0-0,0-0,2-0,0-0,0-0,4-0,0-0,1-0,1-2,0-0,0-1,4-1,2-0,3-1,0-0,1-0,0-0,1-1,0-4,1-1,"htwa, Komodo, htwa, LuigigoShard, Elliot, Joyboy, Neologism, Dawson, HELLA, Komodo, JSalt, essy, essy, Balloon Day, Balloon Day, Balloon Day, Balloon Day, Balloon Day, Gainz, FatGoku, Hax$, rabit!",
Michael,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-3,0-0,N/A,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-1,11-0,1-0,0-0,0-2,0-0,0-3,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,5-0,1-0,8-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,18-27,3-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,"Voo, Blue, bambi, FMB5k, Ober, Unsure, essy, Ober, Ober, Smashdaddy, Smashdaddy, Ober, Unsure, The Leaf, Unsure, ORLY, ORLY, Ober",
Ice,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,3-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-6,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-6,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"MINT, Solobattle",
billybopeep,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,mvlvchi,
Colbol,0-2,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,1-1,14-5,0-1,0-0,0-0,0-0,0-1,2-0,1-0,0-0,0-0,N/A,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,2-1,1-0,0-0,0-0,0-0,0-3,0-0,6-1,2-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,1-3,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-3,"DontTestMe, htwa, MT, Fank, SDeems, Forrest, DontTestMe, DontTestMe, Komodo",
Kalamazhu,0-1,0-0,1-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-2,0-0,0-0,1-0,0-0,0-0,0-2,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,2-1,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,N/A,1-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Eddy Mexico, Whiskers, Hax$",
Aura,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-1,0-1,1-1,0-0,0-1,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-1,N/A,0-0,0-0,0-0,0-0,3-5,0-0,0-0,1-1,0-0,0-1,1-3,0-0,0-2,0-1,0-0,0-0,0-0,0-0,0-1,1-0,0-0,1-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,2-2,1-3,0-0,0-0,0-4,0-0,0-0,1-7,0-0,1-0,2-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,"Koobie, Koobie, Suezo, Zab, Sawyer, Chamberlin, Dawson, DannyPhantom, Fank, Jochi, Jamrun, Tap Jump, Vish, Hochpoch, cashRAXX, Epic Murloc, Trail, Scrotie, Bl@ckchris, Epoodle, Kanye Rest, K8A, Shamunt, Trail, Bbatts, Suezo, Azel, Eddy Mexico, Dusk, The Wolverine, Buttlet, DMT, DMT, FrenchToast, Chipotle+, Becca, GoDiegoGo, Rodney, JorDank, aujory, Zen, Blues Clues, Rocket, Panos, The Leaf, Younger, TPN, Epoodle, yingling, Yeti, Krispy, Sooth, Lotfy, JackedPuffGuy, Equilateral, Den, Koobie, Professor Pizza, FeelinGood, FeelinGood, NSFrog, Blea Gelo, Prometheus, Panos, 4Sabo, fenceturtle, Bigbuffalo, Drio, Sp1nda, YokaiNels, rabit!, Mono, Koobie, Jada, Jada, Mud, Bojack, Salt, Mr. Nice Guy, Dirty Lasagna, Kuyashi, Salt, Pineapple, Captain Pretzel, Freezus, YeehawDaniels, FatGoku, FatGoku, FatGoku, FatGoku, Nickemwit, FatGoku, FatGoku, FatGoku, FatGoku, FatGoku, FatGoku, Stiv, Stiv, Stiv, FatGoku, FatGoku, FatGoku, FatGoku, Snap, TreyTheTrashman, Elysian, Tarchwood, FatGoku, Amrak, NoFuxGiven, Quaff, Kürv, htwa, Fank, Trail, Unoriginal, Bbatts, PenisTheWanderer, OtES, Bbatts, Abe, Joe(y) Bats, Casual, Bobby Twofist, Bbatts, Epoodle, Schnurb, Crow, Chi, Dawson, Koints, Cow, I'm Michael BTW, Steoh, Question, Sodabro, tiebex, Becca, Charlie Wu, Lumbre, Mad Tyro, Pi#374, Bbatts, Phoenix, Arpy, Aero, Archi, PanterA, Oreo, SuperCuak, ZouL, Fable, LLDL, Justin Joe, OtES, Sneakywill, g-regulate, Dirt, Maelstrom, GoDiegoGo, Solomon, Ampp, Ch0pper, Epoodle, DD, Zab, Hua 桃花公主, KoopaKev, Crow, Lotfy, CeeLew, JSalt, CeeLew, PBJA, Drio, Wolven, Ghostsoap, Suezo, Jank, Burning Cactus",
nut,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-5,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,2-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-3,0-0,0-0,0-0,1-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Raikin, FatGoku, Anjo, Elder, Casper, Asashi, Westballz, Rat, MegaXmas, MegaXmas, Casper, Kürv, Casper, cliché, Ranchero, Eddy Mexico, Franz, rom, rom, MegaXmas, Gooms, MegaXmas, Kürv, Bab Activated, lucky_dude_1, Wevans",
Kalvar,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-1,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-2,0-0,0-0,0-0,1-0,0-0,0-1,2-1,1-2,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-3,2-0,0-0,0-1,"Dawson, Jamrun, Seven, Bbatts, Zeeker, Duo, DrewNG, TzD, Intern, Dixon B. Tweenerlegs, Prometheus, sunriseXpress, Bigbuffalo, htwa, Dom, Sandy, CmG, DrLobster, Bank, Clutch, Clutch, JoJo, Kikoho, JSalt, grownworkingman, Penn, Hunybear, CmG, Lotfy, DrLobster",
Polish,2-0,0-0,0-0,1-0,0-1,0-1,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-1,1-1,1-0,0-0,1-1,1-3,1-0,7-1,0-0,0-0,0-0,0-0,0-0,1-1,0-0,1-1,3-0,1-0,2-3,1-0,2-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,N/A,0-0,2-1,2-1,0-0,0-0,0-0,0-0,2-0,1-0,0-1,0-1,3-0,0-0,1-0,0-0,1-2,0-0,3-2,1-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,2-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,"FatGoku, TheRealThing, Erik, Jada",
Tai,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-2,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Fizzwiggle, Soonsay",
KoDoRiN,1-4,0-0,0-2,0-3,0-2,0-2,0-0,0-2,1-2,1-0,4-7,5-2,6-6,1-0,3-4,0-0,0-4,10-5,7-3,0-0,0-1,0-0,0-0,2-0,0-0,1-2,5-2,0-0,0-0,3-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,1-0,5-3,0-0,0-0,1-2,0-0,N/A,0-1,0-0,0-0,0-0,0-0,8-4,0-0,3-0,2-1,0-0,0-0,0-0,1-0,1-1,8-3,10-2,0-0,0-0,0-0,0-0,1-0,0-0,1-1,0-0,1-0,2-1,0-0,0-0,1-0,0-0,1-1,0-0,1-0,0-0,6-1,1-0,4-2,0-0,0-1,8-0,0-0,3-0,1-0,0-0,0-1,0-0,0-1,1-1,2-0,0-0,0-0,"Hax$, The Crimson Chin, ycz6, Soonsay, Yamasaki, Easy, SquidTheCat, Soonsay, Soonsay, ESPONJA, Neck, Egg$, ycz6, Logos, LAG, Redcoat, Buckets, Oreo",
Free Palestine,0-1,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,1-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Ryobeat,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-3,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,1-1,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,1-0,2-2,0-1,0-0,0-0,"JSalt, MT, JoJo",
Luigi Ka-Master,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,"Azel, ycz6, Stiv, Bladewise, FatGoku, Pocket Sand",
Kurv,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Frenzy,0-0,1-4,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,2-8,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,9-6,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,6-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,1-3,0-0,2-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-7,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Kingu, Kins0, Solobattle, Solobattle, MINT, MINT, Prins Esse, Meady, Nintendude, Solobattle, Sharp, abbearv, Solobattle, Kins0, Meady, raoul, Solobattle, Niklas2912, Meady, Meady, Solobattle, Solobattle, Levingy, Solobattle",
