ETossed,Wins,Losses
logan,"2saint,aklo,ben,bobby big ballz,eggy,moky,panda,swift,theswooper,","axe(x2),colbol,far!,ibdw(x2),jflex,khryke,null,sfat,slug,wizzrobe,zamu,",
lucky,"android 0,dacky,faceroll(x2),justus,kalamazhu,kurv,s2j,spark,","fiction,gahtzu,kodorin,palpa,s2j,spark(x2),wizzrobe,",
luigi ka-master,"2saint,wally,","fiction,hungrybox,magi,nicki,sock,",
magi,"gahtzu(x2),ginger,luigi ka-master,null,pipsqueak,professor pro,sfat(x2),sfop,skerzo,warmmer,wizzrobe,zamu,","ben,faceroll,ginger(x2),hungrybox(x2),kodorin,leffen,medz,n0ne/ bond / wizzyfan109,null,polish,wizzrobe,zamu,",
mang0,"free palestine,hungrybox(x2),ibdw,kodorin(x2),leffen,moky(x2),n0ne/ bond / wizzyfan109,plup,swift,wizzrobe(x2),zain(x3),","amsa(x2),ibdw,plup,sfat,zain,",
medz,"aura,billybopeep,bobby big ballz,far!,magi,sdj,","faceroll,fiction,ibdw,plup,sfat,",
mekk,"kalvar,kjh,theswooper,wally,zamu,","jflex,mew2king,panda,shroomed,zamu(x2),",
mew2king,"aura,frenzy,jflex,mekk,","kodorin,krudo,wizzrobe,",
michael,"fizz,mot$,","polish,zamu(x2),",
moky,"2saint,n0ne/ bond / wizzyfan109(x2),","hungrybox,kodorin,logan,mang0(x2),",
morsecode762,"mot$,skerzo,wally,zamu,","drephen,ginger,polish,wally,",
mot$,"fizz,kalvar,","axe,chem,kalvar,michael,morsecode762,panda,skerzo,theswooper,wally,zamu(x2),",
n0ne/ bond / wizzyfan109,"aklo,ben,kodorin,magi,nut,wizzrobe,zuppy(x3),","2saint,aklo,amsa,fiction,hungrybox,kodorin,llod,mang0,moky(x2),s2j,slug,zain,",
nicki,"fiction,luigi ka-master,","hungrybox,leffen,pipsqueak,polish,sock,trif,",
nofluxes,"khryke,secrets,slug(x2),wally,","axe(x2),jflex,juicebox(x2),kalvar,s2j,",
null,"logan,magi,tai,","android 0,eggy,ginger,leffen,magi,s2j,sfop,sora/joshman,swift,wizzrobe,",
nut,"ringler,","android 0,fatgoku,n0ne/ bond / wizzyfan109,sdj,secrets,",
palpa,"albert,lucky,","kodorin,s2j,",
panda,"jah ridin',kodorin,krudo,mekk,mot$,shroomed,skerzo,","frenzy,ibdw,kodorin,llod,logan,slug,",
pappi,"skerzo,","albert,kodorin,",
pipsqueak,"colbol,free palestine,frenzy(x2),nicki,polish,professor pro(x3),spark,swift,","hungrybox,ibdw,ice,leffen,magi,plup,polish,trif,",
plup,"2saint,aklo,amsa,axe,billybopeep,faceroll(x2),fiction,ginger,hungrybox,ibdw,ice,juicebox,kodorin(x3),mang0,medz,pipsqueak,sfat(x3),wizzrobe(x3),","ibdw(x2),mang0,sfat,zain,",
polish,"colbol,drephen,free palestine(x2),ginger,hungrybox(x2),ibdw,ice,juicebox(x2),llod(x3),magi,michael,morsecode762,nicki,pipsqueak,skerzo,spark,theswooper(x3),trif,wally,zamu,","ben,free palestine,ginger(x3),ibdw,pipsqueak,wizzrobe,zain,",
professor pro,"frenzy,ice,jah ridin',zamu,","frenzy(x3),ice,magi,pipsqueak(x3),sfat,",
ringler,"shroomed,zamu,","drephen,nut,s2j,sdj,slowking,spark,",
rishi,"theswooper,warmmer,","aklo(x2),",
rocky,"android 0(x2),dacky,krudo,","fiction,ginger,jflex,kalamazhu,kodorin,",
ryobeat,"theswooper,","theswooper,warmmer,",
s2j,"albert,android 0,aura,fizz,kalamazhu,lucky,n0ne/ bond / wizzyfan109,nofluxes,null,palpa,ringler,zamu,","fiction(x2),gahtzu,hungrybox,lucky,sfat(x2),sfop,",
sdj,"albert,android 0,drephen,gahtzu,kalvar,nut,ringler,","bobby big ballz,ginger,hungrybox,jflex,kodorin,medz,",
secrets,"axe,nut,","albert,android 0,nofluxes,",
sfat,"aklo,albert,axe,bobby big ballz,faceroll,fiction,free palestine,gahtzu,ginger,logan,mang0,medz,plup,professor pro,s2j(x2),sora/joshman,tai,wizzrobe,zamu,zealot,","aklo,amsa,hungrybox,kodorin(x3),magi(x2),plup(x3),wizzrobe(x2),zain,",
sfop,"null,s2j,zealot,","albert,axe,fatgoku,kodorin,llod,magi,",
shroomed,"mekk,","android 0,bobby big ballz,panda,ringler,",
skerzo,"bobby big ballz,bones,free palestine,justus,kjh,mot$,","chem,drephen(x4),ginger,khryke,magi,morsecode762,panda,pappi,polish,wally,zealot,",
slowking,"ringler,","flash,llod,",
slug,"2saint,drephen,jflex(x2),logan,n0ne/ bond / wizzyfan109,panda,warmmer,","aklo,nofluxes(x2),smashdaddy,zealot,",
smashdaddy,"slug,zamu,","hungrybox,zealot,",
sock,"luigi ka-master,nicki,","fiction,hungrybox,",
sora/joshman,"axe,ben,ginger,null,","faceroll,jmook,kodorin,sfat,swift,trif,zain,",
spark,"faceroll,lucky(x2),ringler,","colbol,lucky,pipsqueak,polish,",
swift,"null,sora/joshman,","ben,hungrybox,ibdw,leffen,logan,mang0,pipsqueak,",
tai,"billybopeep,bobby big ballz,","fiction,fizz,kalamazhu,null,sfat,",
theswooper,"mot$,ryobeat,wally(x2),warmmer(x2),zamu,","2saint,captain smuckers,colbol,drephen(x2),kalvar,kjh,logan,mekk,mot$,polish(x3),rishi,ryobeat,zamu,",
trif,"aklo,amsa,axe,ben,faceroll(x2),frenzy,jah ridin',nicki,pipsqueak,sora/joshman,","leffen(x2),polish,wizzrobe,",
wally,"drephen,fizz,jflex,kurv,morsecode762,mot$,skerzo,zamu,","axe,ben,bones,ginger,ibdw,luigi ka-master,mekk,morsecode762,nofluxes,polish,theswooper(x2),warmmer(x2),zamu,",
warmmer,"aklo,chem,eggy,ryobeat,wally(x2),","aklo,jflex,kalvar,magi,rishi,slug,theswooper(x2),zamu,",
wizzrobe,"aklo(x2),amsa,aura,axe(x2),colbol,eddy mexico,flash(x2),frenzy,ginger(x3),hungrybox(x4),kodorin,leffen,llod(x2),logan,lucky,magi,mew2king,null,polish,sfat(x2),trif,","ben,hungrybox,ibdw(x2),magi,mang0(x2),n0ne/ bond / wizzyfan109,plup(x3),sfat,",
zain,"aklo,amsa,colbol,gahtzu,ginger,hungrybox(x2),ibdw(x2),kodorin(x2),mang0,n0ne/ bond / wizzyfan109,plup,polish,sfat,sora/joshman,zamu,","ibdw,mang0(x3),",
zamu,"ben,bobby big ballz,drephen,gahtzu,jflex(x2),logan,magi,mekk(x2),michael(x2),mot$(x2),theswooper,wally,warmmer,","aklo,axe,ben,free palestine,hungrybox,llod,magi,mekk,morsecode762,polish,professor pro,ringler,s2j,sfat,smashdaddy,theswooper,wally,zain,",
zealot,"far!,skerzo,slug,smashdaddy,","axe,ginger,sfat,sfop,",
zuppy,"dacky,","n0ne/ bond / wizzyfan109(x3),",
